day,weather,high_temp,low_temp,wind
2020/8/2,阵雨/多云,30℃,23℃,无持续风向1-2级
2020/8/3,阵雨/阵雨,32℃,23℃,无持续风向1-2级
2020/8/4,阵雨/阵雨,32℃,23℃,无持续风向1-2级
2020/8/5,小雨/小雨,33℃,25℃,无持续风向1-2级
2020/8/6,阵雨/大雨,33℃,24℃,无持续风向1-2级
2020/8/7,大雨/阴,27℃,23℃,无持续风向1-2级
2020/8/8,多云/晴,33℃,25℃,无持续风向1-2级
2020/8/9,多云/阴,35℃,25℃,无持续风向1-2级
2020/8/10,多云/中雨,34℃,24℃,无持续风向1-2级
2020/8/11,阵雨/暴雨,28℃,22℃,无持续风向1-2级
2020/8/12,大雨/大雨,26℃,22℃,东北风1-2级
2020/8/13,小雨/小雨,26℃,22℃,东北风1-2级
2020/8/14,小雨/中雨,31℃,23℃,东北风1-2级
2020/8/15,小雨/中雨,26℃,23℃,东北风1-2级
2020/8/16,小雨/小雨,24℃,23℃,东北风1-2级
2020/8/17,大雨/大雨,25℃,21℃,东北风1-2级
2020/8/18,小雨/小雨,23℃,20℃,西风1-2级
2020/8/19,中雨/中雨,26℃,21℃,东风1-2级
2020/8/20,阴/晴,26℃,21℃,东南风1-2级
2020/8/21,多云/小雨,30℃,22℃,南风1-2级
2020/8/22,阵雨/阵雨,27℃,22℃,北风1-2级
2020/8/23,阵雨/大雨,30℃,20℃,北风1-2级
2020/8/24,阵雨/晴,30℃,20℃,北风1-2级
2020/8/25,晴/晴,31℃,21℃,北风1-2级
2020/8/26,晴/晴,32℃,21℃,北风1-2级
2020/8/27,多云/阴,33℃,23℃,北风1-2级
2020/8/28,多云/阵雨,32℃,21℃,北风1-2级
2020/8/29,阵雨/大雨,29℃,22℃,北风1-2级
2020/8/30,大雨/阵雨,25℃,20℃,北风1-2级
2020/8/31,多云/多云,24℃,19℃,北风1-2级
2020/9/1,阴/多云,27℃,21℃,北风1-2级
2020/9/2,多云/晴,31℃,20℃,北风1-2级
2020/9/3,多云/多云,30℃,21℃,北风1-2级
2020/9/4,多云/多云,28℃,22℃,北风1-2级
2020/9/5,阵雨/阵雨,25℃,20℃,北风1-2级
2020/9/6,晴/晴,32℃,20℃,北风1-2级
2020/9/7,晴/多云,31℃,22℃,北风1-2级
2020/9/8,多云/阵雨,29℃,21℃,北风1-2级
2020/9/9,阵雨/阵雨,26℃,21℃,北风1-2级
2020/9/10,多云/阴,28℃,21℃,北风1-2级
2020/9/11,阴/阵雨,26℃,19℃,北风1-2级
2020/9/12,阵雨/阵雨,21℃,18℃,北风1-2级
2020/9/13,阵雨/阴,21℃,18℃,北风1-2级
2020/9/14,阴/多云,22℃,18℃,北风1-2级
2020/9/15,阵雨/阵雨,23℃,18℃,北风1-2级
2020/9/16,阵雨/阵雨,21℃,17℃,北风1-2级
2020/9/17,阵雨/多云,23℃,15℃,北风1-2级
2020/9/18,多云/多云,24℃,17℃,北风1-2级
2020/9/19,阴/阵雨,22℃,17℃,北风1-2级
2020/9/20,阵雨/阵雨,20℃,17℃,北风1-2级
2020/9/21,阵雨/阵雨,20℃,17℃,北风1-2级
2020/9/22,阴/多云,23℃,17℃,北风1-2级
2020/9/23,多云/多云,23℃,17℃,北风1-2级
2020/9/24,阵雨/阵雨,21℃,17℃,北风1-2级
2020/9/25,阵雨/阵雨,19℃,16℃,北风1-2级
2020/9/26,阴/阵雨,20℃,16℃,北风1-2级
2020/9/27,阵雨/阵雨,19℃,16℃,北风1-2级
2020/9/28,阵雨/阵雨,19℃,16℃,北风1-2级
2020/9/29,多云/多云,24℃,17℃,北风1-2级
2020/9/30,多云/阵雨,22℃,18℃,北风1-2级
2020/10/1,小雨/小雨,21℃,17℃,北风1-2级
2020/10/2,小雨/阴,21℃,17℃,北风1-2级
2020/10/3,阴/阴,21℃,16℃,北风1-2级
2020/10/4,阴/小雨,19℃,13℃,北风1-2级
2020/10/5,阴/小雨,16℃,13℃,北风1-2级
2020/10/6,小雨/小雨,15℃,12℃,北风1-2级
2020/10/7,阴/阴,18℃,14℃,北风1-2级
2020/10/8,小雨/小雨,17℃,14℃,北风1-2级
2020/10/9,多云/多云,17℃,14℃,北风1-2级
2020/10/10,多云/阴,18℃,14℃,北风1-2级
2020/10/11,阴/阴,19℃,15℃,北风1-2级
2020/10/12,阴/小雨,17℃,14℃,北风1-2级
2020/10/13,小雨/小雨,17℃,14℃,北风1-2级
2020/10/14,阴/小雨,15℃,13℃,北风1-2级
2020/10/15,多云/阴,16℃,12℃,北风1-2级
2020/10/16,多云/阴,18℃,12℃,北风1-2级
2020/10/17,多云/小雨,15℃,11℃,北风1-2级
2020/10/18,小雨/小雨,16℃,11℃,北风1-2级
2020/10/19,阴/小雨,15℃,12℃,北风1-2级
2020/10/20,小雨/多云,16℃,12℃,北风1-2级
2020/10/21,晴/多云,22℃,12℃,北风1-2级
2020/10/22,晴/晴,22℃,12℃,北风1-2级
2020/10/23,阴/阴,20℃,13℃,北风1-2级
2020/10/24,阴/阴,19℃,14℃,北风1-2级
2020/10/25,多云/多云,19℃,15℃,北风1-2级
2020/10/26,阴/阴,22℃,15℃,北风1-2级
2020/10/27,阴/阴,18℃,13℃,北风1-2级
2020/10/28,多云/多云,18℃,12℃,北风1-2级
2020/10/29,多云/多云,19℃,13℃,北风1-2级
2020/10/30,小雨/小雨,18℃,13℃,北风1-2级
2020/10/31,多云/阴,18℃,14℃,北风1-2级
2020/11/1,阴/多云,20℃,13℃,北风1-2级
2020/11/2,多云/多云,19℃,12℃,北风1-2级
2020/11/3,多云/阴,16℃,12℃,北风1-2级
2020/11/4,小雨/小雨,14℃,11℃,北风1-2级
2020/11/5,阴/阴,14℃,11℃,北风1-2级
2020/11/6,晴/多云,20℃,12℃,北风1-2级
2020/11/7,晴/阴,21℃,15℃,北风1-2级
2020/11/8,多云/多云,20℃,13℃,北风1-2级
2020/11/9,多云/多云,20℃,14℃,北风1-2级
2020/11/10,多云/多云,21℃,15℃,东北风1-2级
2020/11/11,多云/多云,20℃,15℃,北风1-2级
2020/11/12,多云/多云,21℃,15℃,北风1-2级
2020/11/13,阴/阴,19℃,15℃,北风1-2级
2020/11/14,多云/多云,19℃,15℃,北风1-2级
2020/11/15,多云/多云,21℃,15℃,北风1-2级
2020/11/16,多云/多云,20℃,15℃,北风1-2级
2020/11/17,多云/多云,20℃,14℃,北风1-2级
2020/11/18,多云/阴,20℃,12℃,北风1-2级
2020/11/19,晴/多云,19℃,12℃,北风1-2级
2020/11/20,阴/小雨,17℃,11℃,北风1-2级
2020/11/21,阴/小雨,13℃,7℃,北风1-2级
2020/11/22,阴/阴,8℃,4℃,北风1-2级
2020/11/23,多云/多云,9℃,4℃,北风1-2级
2020/11/24,阴/多云,9℃,5℃,北风1-2级
2020/11/25,多云/多云,11℃,6℃,北风1-2级
2020/11/26,阴/阴,12℃,7℃,北风1-2级
2020/11/27,阴/小雨,12℃,7℃,北风1-2级
2020/11/28,小雨/阴,11℃,7℃,北风1-2级
2020/11/29,阴/阴,10℃,7℃,北风1-2级
2020/11/30,小雨/小雨,9℃,7℃,北风1-2级
2020/12/1,小雨/小雨,9℃,6℃,北风1-2级
2020/12/2,小雨/小雨,8℃,5℃,北风1-2级
2020/12/3,小雨/小雨,5℃,3℃,东北风1-2级
2020/12/4,小雨/小雨,5℃,3℃,北风1-2级
2020/12/5,阴/小雨,7℃,4℃,北风1-2级
2020/12/6,阴/阴,8℃,5℃,北风1-2级
2020/12/7,阴/多云,9℃,5℃,北风1-2级
2020/12/8,多云/阴,8℃,4℃,北风1-2级
2020/12/9,阴/多云,9℃,5℃,北风1-2级
2020/12/10,多云/阴,10℃,6℃,北风1-2级
2020/12/11,阴/多云,10℃,6℃,北风1-2级
2020/12/12,阴/阴,10℃,7℃,北风1-2级
2020/12/13,小雨/小雨,8℃,3℃,北风1-2级
2020/12/14,阴/小雨,4℃,1℃,北风1-2级
2020/12/15,小雨/小雨,4℃,2℃,北风1-2级
2020/12/16,小雨/小雨,5℃,2℃,北风1-2级
2020/12/17,小雨/小雨,4℃,3℃,北风1-2级
2020/12/18,多云/多云,8℃,3℃,北风1-2级
2020/12/19,多云/多云,8℃,1℃,北风1-2级
2020/12/20,多云/多云,8℃,1℃,北风1-2级
2020/12/21,多云/多云,8℃,3℃,北风1-2级
2020/12/22,阴/多云,7℃,4℃,北风1-2级
2020/12/23,多云/晴,11℃,3℃,北风1-2级
2020/12/24,多云/阴,10℃,6℃,北风1-2级
2020/12/25,小雨/小雨,8℃,5℃,北风1-2级
2020/12/26,多云/多云,10℃,4℃,北风1-2级
2020/12/27,多云/多云,10℃,2℃,北风1-2级
2020/12/28,多云/阴,9℃,4℃,北风1-2级
2020/12/29,多云/晴,8℃,1℃,北风1-2级
2020/12/30,多云/多云,7℃,1℃,北风1-2级
2020/12/31,多云/晴,7℃,0℃,北风1-2级
