day,weather,high_temp,low_temp,mean_temp
2020/10/3,“ı,21°Ê,16°Ê,18
2020/10/4,“ı,19°Ê,13°Ê,16
2020/10/5,“ı,16°Ê,13°Ê,14
2020/10/6,–°”Í,15°Ê,12°Ê,13
2020/10/7,“ı,18°Ê,14°Ê,16
2020/10/8,–°”Í,17°Ê,14°Ê,15
2020/10/9,∂‡‘∆,17°Ê,14°Ê,15
2020/10/10,∂‡‘∆,18°Ê,14°Ê,16
2020/10/11,“ı,19°Ê,15°Ê,17
2020/10/12,“ı,17°Ê,14°Ê,15
2020/10/13,–°”Í,17°Ê,14°Ê,15
2020/10/14,“ı,15°Ê,13°Ê,14
2020/10/15,∂‡‘∆,16°Ê,12°Ê,14
2020/10/16,∂‡‘∆,18°Ê,12°Ê,15
2020/10/17,∂‡‘∆,15°Ê,11°Ê,13
2020/10/18,–°”Í,16°Ê,11°Ê,13
2020/10/19,“ı,15°Ê,12°Ê,13
2020/10/20,–°”Í,16°Ê,12°Ê,14
2020/10/21,«Á,22°Ê,12°Ê,17
2020/10/22,«Á,22°Ê,12°Ê,17
2020/10/23,“ı,20°Ê,13°Ê,16
2020/10/24,“ı,19°Ê,14°Ê,16
2020/10/25,∂‡‘∆,19°Ê,15°Ê,17
2020/10/26,“ı,22°Ê,15°Ê,18
2020/10/27,“ı,18°Ê,13°Ê,15
2020/10/28,∂‡‘∆,18°Ê,12°Ê,15
2020/10/29,∂‡‘∆,19°Ê,13°Ê,16
2020/10/30,–°”Í,18°Ê,13°Ê,15
2020/10/31,∂‡‘∆,18°Ê,14°Ê,16
2020/11/1,“ı,20°Ê,13°Ê,16
2020/11/2,∂‡‘∆,19°Ê,12°Ê,15
2020/11/3,∂‡‘∆,16°Ê,12°Ê,14
2020/11/4,–°”Í,14°Ê,11°Ê,12
2020/11/5,“ı,14°Ê,11°Ê,12
2020/11/6,«Á,20°Ê,12°Ê,16
2020/11/7,«Á,21°Ê,15°Ê,18
2020/11/8,∂‡‘∆,20°Ê,13°Ê,16
2020/11/9,∂‡‘∆,20°Ê,14°Ê,17
2020/11/10,∂‡‘∆,21°Ê,15°Ê,18
2020/11/11,∂‡‘∆,20°Ê,15°Ê,17
2020/11/12,∂‡‘∆,21°Ê,15°Ê,18
2020/11/13,“ı,19°Ê,15°Ê,17
2020/11/14,∂‡‘∆,19°Ê,15°Ê,17
2020/11/15,∂‡‘∆,21°Ê,15°Ê,18
